paper,plot_letter,protein,iex_type,resin,x,tis_M,kprime
1,d,myoglobin,aex,Q Sepharose FF,20.074,0.04981568197668626,0.7388
1,d,myoglobin,aex,Q Zirconia,12.9336,0.07731799344343415,3.9638
1,d,myoglobin,aex,Q Zirconia,11.5147,0.0868455105213336,1.2845
1,d,myoglobin,aex,Q Zirconia,10.8699,0.0919971664872722,0.9067
1,d,myoglobin,aex,Q Zirconia,10.3777,0.09636046522832611,0.6144
1,d,myoglobin,aex,Q Zirconia,9.7988,0.10205331265052864,0.48046
1,d,myoglobin,aex,Q Zirconia,9.3585,0.10685473099321473,0.38352
1,d,myoglobin,aex,Q Zirconia,8.5862,0.11646595700076867,0.25985
1,d,myoglobin,aex,Source 30Q,33.598,0.029763676409310078,3.5053
1,d,myoglobin,aex,Source 30Q,24.936,0.04010266281681104,1.1129
1,d,myoglobin,aex,Source 30Q,19.952,0.05012028869286286,0.6144
1,d,myoglobin,aex,Source 30Q,16.7153,0.0598254293970195,0.43368
1,d,myoglobin,aex,Source 30Q,14.4077,0.06940733080227933,0.30613
1,d,myoglobin,aex,TSK-Gel Q-5PW-HR,24.967,0.040052869788120324,1.9351
1,d,myoglobin,aex,TSK-Gel Q-5PW-HR,19.965,0.05008765339343852,0.8354
1,d,myoglobin,aex,TSK-Gel Q-5PW-HR,16.6252,0.060149652335009504,0.4904
1,d,myoglobin,aex,TSK-Gel Q-5PW-HR,14.2461,0.070194649763795,0.31894
1,d,myoglobin,aex,TSK-Gel Q-5PW-HR,12.5618,0.07960642583069305,0.22514
1,d,myoglobin,aex,TSK-Gel Q-5PW-HR,11.1407,0.08976096654608776,0.16557
2,a,anti-FVII mAb,aex,Poros 50 HQ,5.6127,0.17816737042777986,8.226
2,a,anti-FVII mAb,aex,Poros 50 HQ,5.33,0.18761726078799248,3.9786
2,a,anti-FVII mAb,aex,Poros 50 HQ,4.9486,0.202077355211575,1.8478
2,a,anti-FVII mAb,aex,Poros 50 HQ,4.4153,0.2264851765451951,0.6339
2,a,anti-FVII mAb,aex,Poros 50 HQ,3.9631,0.25232772324695313,0.28267
2,a,anti-FVII mAb,aex,Poros 50 HQ,3.5995,0.27781636338380333,0.18491
2,a,anti-FVII mAb,aex,Q Sepharose HP,5.3719,0.18615387479290382,17.69
2,a,anti-FVII mAb,aex,Q Sepharose HP,5.1002,0.19607074232383043,7.43
2,a,anti-FVII mAb,aex,Q Sepharose HP,4.8451,0.20639408887329466,4.5769
2,a,anti-FVII mAb,aex,Q Sepharose HP,4.6027,0.21726377995524368,2.8196
2,a,anti-FVII mAb,aex,Q Sepharose HP,4.3727,0.22869165504150754,1.8085
2,a,anti-FVII mAb,aex,Q Sepharose XL,5.6198,0.17794227552581943,19.185
2,a,anti-FVII mAb,aex,Q Sepharose XL,5.042,0.19833399444664818,6.322
2,a,anti-FVII mAb,aex,Q Sepharose XL,4.5999,0.21739603034848584,1.8839
2,a,anti-FVII mAb,aex,Q Sepharose XL,4.1975,0.23823704586063135,0.6465
2,a,anti-FVII mAb,aex,Q Sepharose XL,3.8752,0.2580511973575557,0.29423
2,a,anti-FVII mAb,aex,Q Sepharose XL,3.5986,0.2778858444950814,0.15422
2,a,anti-FVII mAb,aex,Q Sepharose XL,3.3609,0.2975393495789818,0.08763
2,a,anti-FVII mAb,aex,Q-Cellthru Bigbeads Plus,12.8165,0.07802442164397456,0.09835
2,a,anti-FVII mAb,aex,Q-Cellthru Bigbeads Plus,12.0309,0.08311930113291607,0.038102
